# RMUC mapping waypoints - main navigation route
# Format: x,y,z per line
0.054540,-1.278440,0.000000
-2.954050,-1.130550,0.000000
-3.000460,-3.412100,0.000000
-4.349550,-4.136350,0.000000
-4.521580,-2.550680,0.000000
-4.691090,-0.265490,0.000000
-6.428726,-0.499650,0.000000
-6.167570,-2.997660,0.000000
-6.441167,-5.648200,0.000000
-3.847250,-8.264800,0.000000
-2.304280,-7.181300,0.000000
-0.326230,-7.053400,0.000000
1.110290,-7.969400,0.000000
2.214150,-9.351700,0.000000
2.602350,-10.850600,0.000000
